Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T00:16:35Z,2026-07-01T01:28:07.869Z,1e00000985,141.1300085,39.6918055,19,0
2026-07-01T00:16:57Z,2026-07-01T01:28:07.869Z,1e00000985,141.1307566,39.6917094,121,0
2026-07-01T00:21:36Z,2026-07-01T01:28:07.869Z,1e00000985,141.1287005,39.6929553,62,0
2026-07-01T00:24:12Z,2026-07-01T01:28:07.869Z,1e00000985,141.1311789,39.6924982,114,0
2026-07-01T00:52:06Z,2026-07-01T01:28:07.869Z,1e00000985,141.129609,39.6918676,169,0
2026-07-01T01:03:12Z,2026-07-01T01:28:07.869Z,1e00000985,141.1297574,39.692194,34,0
2026-07-01T01:19:56Z,2026-07-01T01:28:07.869Z,1e00000985,141.1296172,39.6915011,96,0
2026-07-01T01:27:24Z,2026-07-01T01:28:07.869Z,1e00000985,141.1266273,39.6858764,62,0
2026-07-01T04:39:18Z,2026-07-01T05:15:08.64Z,1e00000985,141.1288992,39.6900672,27,0
2026-07-01T04:39:39Z,2026-07-01T05:15:08.64Z,1e00000985,141.129745,39.691852,39,0
2026-07-01T04:40:36Z,2026-07-01T05:15:08.64Z,1e00000985,141.1297491,39.6918541,53,0
2026-07-01T04:40:59Z,2026-07-01T05:15:08.64Z,1e00000985,141.1297499,39.6918514,53,0
2026-07-01T04:43:15Z,2026-07-01T05:15:08.64Z,1e00000985,141.1295329,39.6917065,92,0
2026-07-01T04:43:57Z,2026-07-01T05:15:08.64Z,1e00000985,141.1297707,39.6919735,47,0
2026-07-01T04:44:15Z,2026-07-01T05:15:08.64Z,1e00000985,141.129424,39.6915839,142,0
2026-07-01T04:52:58Z,2026-07-01T05:15:08.64Z,1e00000985,141.1297531,39.6918185,48,0
2026-07-01T07:55:59Z,2026-07-01T09:01:05.71Z,1e00000985,141.127578,39.6912472,167,0
2026-07-01T07:57:12Z,2026-07-01T09:01:05.71Z,1e00000985,141.1200441,39.693065,144,0
2026-07-01T07:57:16Z,2026-07-01T09:01:05.71Z,1e00000985,141.1197967,39.693144,187,0
2026-07-01T08:03:56Z,2026-07-01T09:01:05.71Z,1e00000985,141.1113612,39.6906504,61,0
2026-07-01T08:04:13Z,2026-07-01T09:01:05.71Z,1e00000985,141.1113818,39.6904449,44,0
2026-07-01T08:04:18Z,2026-07-01T09:01:05.71Z,1e00000985,141.1117469,39.6904514,40,0
2026-07-01T08:38:40Z,2026-07-01T09:01:05.71Z,1e00000985,141.1104839,39.6888883,111,0
2026-07-01T11:32:33Z,2026-07-01T12:44:05.09Z,1e00000985,141.1335315,39.7088736,90,0
2026-07-01T11:33:33Z,2026-07-01T12:44:05.09Z,1e00000985,141.1335027,39.7089926,69,0
2026-07-01T12:08:35Z,2026-07-01T12:44:05.09Z,1e00000985,141.1343918,39.7078845,182,0
2026-07-01T12:10:35Z,2026-07-01T12:44:05.09Z,1e00000985,141.1333097,39.7092462,28,0
2026-07-01T12:10:36Z,2026-07-01T12:44:05.09Z,1e00000985,141.1333296,39.7090295,34,0
2026-07-01T12:11:33Z,2026-07-01T12:44:05.09Z,1e00000985,141.1330289,39.7093769,85,0
2026-07-01T12:16:35Z,2026-07-01T12:44:05.09Z,1e00000985,141.1331652,39.7093134,35,0
2026-07-01T12:31:35Z,2026-07-01T12:44:05.09Z,1e00000985,141.1336996,39.7090686,110,0
