Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T00:23:20Z,2026-07-01T06:20:05.458Z,1e00000993,141.4616025,43.0724326,40,0
2026-07-01T03:19:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4627576,43.070731,143,0
2026-07-01T03:27:21Z,2026-07-01T06:20:05.458Z,1e00000993,141.4617252,43.0731402,32,0
2026-07-01T04:01:20Z,2026-07-01T06:20:05.458Z,1e00000993,141.4547666,43.0721484,177,0
2026-07-01T04:27:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597341,43.0717106,58,0
2026-07-01T05:08:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597494,43.0717129,53,0
2026-07-01T05:08:22Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597482,43.0717128,52,0
2026-07-01T05:12:22Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597444,43.0717126,78,0
2026-07-01T07:40:19Z,2026-07-01T10:33:05.989Z,1e00000993,141.4588781,43.0720866,46,0
2026-07-01T07:40:20Z,2026-07-01T19:11:07.57Z,1e00000993,141.4595227,43.0719618,124,0
2026-07-01T07:40:22Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,47,0
2026-07-01T07:42:19Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,59,0
2026-07-01T07:43:22Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,62,0
2026-07-01T08:25:19Z,2026-07-01T19:11:07.57Z,1e00000993,141.4599117,43.0720815,86,0
2026-07-01T08:34:21Z,2026-07-01T19:11:07.57Z,1e00000993,141.4599121,43.0720818,82,0
2026-07-01T09:25:20Z,2026-07-01T23:19:05.574Z,1e00000993,141.4418011,43.0756737,101,0
2026-07-01T09:30:19Z,2026-07-01T23:19:05.574Z,1e00000993,141.4103216,43.0843505,186,0
2026-07-01T19:25:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4598811,43.0721074,35,0
2026-07-01T19:26:23Z,2026-07-01T23:19:05.574Z,1e00000993,141.4597893,43.0717461,36,0
2026-07-01T19:27:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4603136,43.072121,33,0
2026-07-01T19:35:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
2026-07-01T19:35:24Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
2026-07-01T19:36:24Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
2026-07-05T09:33:35Z,2026-07-06T10:44:06.261Z,1e00000993,141.3952943,43.1150188,134,0
2026-07-05T10:05:38Z,2026-07-06T14:48:04.827Z,1e00000993,141.3920406,43.1116103,184,0
2026-07-05T14:58:39Z,2026-07-06T14:48:04.827Z,1e00000993,141.3965797,43.1148905,82,0
2026-07-06T01:08:38Z,2026-07-06T14:48:04.827Z,1e00000993,141.440328,43.1383985,87,0
2026-07-06T09:05:41Z,2026-07-07T07:53:05.597Z,1e00000993,141.4209035,43.126631,40,0
2026-07-06T09:32:41Z,2026-07-07T07:53:05.597Z,1e00000993,141.3941903,43.1125513,28,0
2026-07-06T09:35:40Z,2026-07-07T07:53:05.597Z,1e00000993,141.3960157,43.1148788,82,0
2026-07-06T10:09:40Z,2026-07-07T12:09:05.549Z,1e00000993,141.3960157,43.1148788,107,0
2026-07-06T12:27:40Z,2026-07-07T12:09:05.549Z,1e00000993,141.3960149,43.1148789,107,0
2026-07-06T21:20:42Z,2026-07-07T12:09:05.549Z,1e00000993,141.4282006,43.1317554,26,0
2026-07-06T21:22:42Z,2026-07-07T12:09:05.549Z,1e00000993,141.4284944,43.1318887,39,0
2026-07-06T21:23:41Z,2026-07-08T03:13:05.401Z,1e00000993,141.4308614,43.1322712,155,0
2026-07-07T08:36:44Z,2026-07-08T07:14:04.72Z,1e00000993,141.4388952,43.1393763,198,0
2026-07-07T08:56:13Z,2026-07-08T07:14:04.72Z,1e00000993,141.4381777,43.1392161,69,0
2026-07-07T09:52:44Z,2026-07-08T07:14:04.72Z,1e00000993,141.3941834,43.1125557,163,0
2026-07-07T13:16:44Z,2026-07-08T11:28:10.962Z,1e00000993,141.3960089,43.1148715,82,0
2026-07-07T13:29:43Z,2026-07-08T11:28:10.962Z,1e00000993,141.3960089,43.1148715,154,0
2026-07-07T13:32:43Z,2026-07-08T11:28:10.962Z,1e00000993,141.3960089,43.1148715,104,0
2026-07-07T13:34:43Z,2026-07-09T20:13:05.127Z,1e00000993,141.3960089,43.1148715,82,0
2026-07-08T06:15:47Z,2026-07-10T04:31:05.911Z,1e00000993,141.4353374,43.1404356,141,0
2026-07-08T08:50:47Z,2026-07-10T04:31:05.911Z,1e00000993,141.402269,43.1093736,77,0
2026-07-08T09:32:47Z,2026-07-10T04:31:05.911Z,1e00000993,141.3944683,43.1145032,157,0
2026-07-08T10:28:48Z,2026-07-10T04:31:05.911Z,1e00000993,141.3961808,43.1147965,90,0
2026-07-08T11:28:47Z,2026-07-10T04:31:05.911Z,1e00000993,141.3961808,43.1147966,102,0
2026-07-08T12:41:48Z,2026-07-10T04:31:05.911Z,1e00000993,141.3960083,43.1148659,82,0
2026-07-08T12:46:48Z,2026-07-10T04:31:05.911Z,1e00000993,141.3960083,43.1148659,82,0
2026-07-10T00:06:53Z,2026-07-10T04:31:05.911Z,1e00000993,141.4419038,43.1361255,19,0
