Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T07:50:51Z,2026-07-08T11:28:10.962Z,1e00000986,141.1254283,39.6821025,124,0
2026-07-02T12:25:15Z,2026-07-09T11:52:05.323Z,1e00000986,141.133266,39.70924,56,0
2026-07-02T23:15:16Z,2026-07-10T04:31:05.911Z,1e00000986,141.1282185,39.6827476,117,0
2026-07-04T09:09:26Z,2026-07-10T04:31:05.911Z,1e00000986,140.9824421,38.6030165,130,0
2026-07-08T20:27:57Z,2026-07-10T04:31:05.911Z,1e00000986,140.8693031,38.6469266,25,0
