Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-08-01T07:56:34Z,2026-08-01T08:35:04.922Z,1e00000988,141.1426347,39.6018935,67,0
2026-08-01T08:26:33Z,2026-08-01T08:35:04.922Z,1e00000988,141.1499271,39.5996007,31,0
2026-08-01T08:27:32Z,2026-08-01T08:35:04.922Z,1e00000988,141.1502407,39.5996714,83,0
2026-08-01T08:28:34Z,2026-08-01T08:35:04.922Z,1e00000988,141.1502407,39.5996714,84,0
2026-08-01T08:29:35Z,2026-08-01T08:35:04.922Z,1e00000988,141.1502407,39.5996714,84,0
2026-08-01T08:36:34Z,2026-08-01T09:34:05.783Z,1e00000988,141.1499291,39.5996004,30,0
2026-08-01T08:43:34Z,2026-08-01T09:34:05.783Z,1e00000988,141.1499298,39.5996004,29,0
2026-08-01T08:50:32Z,2026-08-01T09:34:05.783Z,1e00000988,141.1504947,39.6000532,52,0
2026-08-01T08:59:32Z,2026-08-01T09:34:05.783Z,1e00000988,141.1499341,39.5996007,36,0
2026-08-01T08:59:35Z,2026-08-01T09:34:05.783Z,1e00000988,141.15024,39.5996722,66,0
2026-08-01T09:01:34Z,2026-08-01T09:34:05.783Z,1e00000988,141.1475543,39.604348,70,0
2026-08-01T09:08:34Z,2026-08-01T09:34:05.783Z,1e00000988,141.1468412,39.6037531,94,0
2026-08-01T09:19:34Z,2026-08-01T09:34:05.783Z,1e00000988,141.1485733,39.6008125,43,0
2026-08-01T09:41:35Z,2026-08-01T10:35:05.463Z,1e00000988,141.1471987,39.6036663,39,0
2026-08-01T10:02:33Z,2026-08-01T10:35:05.463Z,1e00000988,141.1468418,39.6037516,52,0
2026-08-01T11:19:34Z,2026-08-01T11:28:06.481Z,1e00000988,141.147213,39.6031784,76,0
2026-08-01T12:36:34Z,2026-08-01T13:10:06.161Z,1e00000988,141.1473265,39.6035591,77,0
2026-08-01T19:24:34Z,2026-08-01T19:56:05.253Z,1e00000988,141.1469908,39.6035853,72,0
2026-08-02T00:31:46Z,2026-08-02T00:35:05.847Z,1e00000988,141.1376355,39.6021532,97,0
2026-08-02T03:23:37Z,2026-08-02T04:14:05.112Z,1e00000988,141.1441054,39.6011284,25,0
2026-08-02T03:26:35Z,2026-08-02T04:14:05.112Z,1e00000988,141.1436,39.6011258,74,0
2026-08-02T03:26:37Z,2026-08-02T04:14:05.112Z,1e00000988,141.1445153,39.6012202,94,0
2026-08-02T03:31:36Z,2026-08-02T04:14:05.112Z,1e00000988,141.1445539,39.6005769,53,0
2026-08-02T03:32:37Z,2026-08-02T04:14:05.112Z,1e00000988,141.1441394,39.6010151,59,0
2026-08-02T03:33:36Z,2026-08-02T04:14:05.112Z,1e00000988,141.143671,39.6011171,68,0
2026-08-02T06:10:37Z,2026-08-02T07:02:06.092Z,1e00000988,141.1502865,39.5995479,42,0
2026-08-02T08:17:36Z,2026-08-02T08:59:05.454Z,1e00000988,141.1494143,39.598364,24,0
2026-08-02T08:18:39Z,2026-08-02T08:59:05.454Z,1e00000988,141.1487713,39.5993446,86,0
2026-08-02T08:35:36Z,2026-08-02T08:59:05.454Z,1e00000988,141.1466211,39.6007774,87,0
2026-08-02T08:35:38Z,2026-08-02T08:59:05.454Z,1e00000988,141.1466211,39.6007774,90,0
2026-08-02T09:07:37Z,2026-08-02T09:42:05.547Z,1e00000988,141.1485725,39.6008118,68,0
2026-08-02T09:09:36Z,2026-08-02T09:42:05.547Z,1e00000988,141.1485724,39.6008115,82,0
