Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-06-01T00:20:33Z,2026-06-01T00:54:48.419Z,1e00000989,141.1362616,39.7147793,59,0
2026-06-01T00:36:26Z,2026-06-01T00:54:48.419Z,1e00000989,141.1368654,39.7156788,40,0
2026-06-01T00:37:50Z,2026-06-01T00:54:48.418Z,1e00000989,141.1367644,39.7154482,68,0
2026-06-01T00:39:11Z,2026-06-01T00:54:48.418Z,1e00000989,141.1366405,39.7154757,154,0
2026-06-01T00:40:14Z,2026-06-01T00:54:48.417Z,1e00000989,141.1365078,39.71544,110,0
2026-06-01T00:40:54Z,2026-06-01T00:54:48.418Z,1e00000989,141.1365746,39.7154461,193,0
2026-06-01T00:42:06Z,2026-06-01T00:54:48.418Z,1e00000989,141.1365223,39.7154709,126,0
2026-06-01T00:43:51Z,2026-06-01T00:54:48.418Z,1e00000989,141.1365838,39.7160921,162,0
2026-06-01T01:27:50Z,2026-06-01T01:58:56.025Z,1e00000989,141.1365133,39.7153974,176,0
2026-06-01T01:27:52Z,2026-06-01T01:58:56.026Z,1e00000989,141.1367561,39.7152747,99,0
2026-06-01T01:38:07Z,2026-06-01T01:58:56.027Z,1e00000989,141.1367727,39.7157513,91,0
2026-06-01T01:39:47Z,2026-06-01T01:58:56.025Z,1e00000989,141.1367503,39.7152321,28,0
2026-06-01T01:40:47Z,2026-06-01T01:58:56.026Z,1e00000989,141.137253,39.7153894,36,0
2026-06-01T01:43:27Z,2026-06-01T01:58:56.026Z,1e00000989,141.136921,39.7157288,117,0
2026-06-01T01:43:32Z,2026-06-01T01:58:56.026Z,1e00000989,141.1367332,39.7161867,90,0
2026-06-01T01:53:27Z,2026-06-01T01:58:56.026Z,1e00000989,141.13694,39.7153671,92,0
2026-06-01T02:49:33Z,2026-06-01T03:09:37.303Z,1e00000989,141.1375233,39.7152703,42,0
2026-06-01T02:49:47Z,2026-06-01T03:09:37.303Z,1e00000989,141.1373244,39.7152862,41,0
2026-06-01T02:50:10Z,2026-06-01T03:09:37.304Z,1e00000989,141.137907,39.7153649,35,0
2026-06-01T02:50:33Z,2026-06-01T03:09:37.302Z,1e00000989,141.1376589,39.7153069,37,0
2026-06-01T02:53:53Z,2026-06-01T03:09:37.303Z,1e00000989,141.136856,39.7161865,103,0
2026-06-01T02:54:27Z,2026-06-01T03:09:37.303Z,1e00000989,141.138059,39.7159569,52,0
2026-06-01T02:59:10Z,2026-06-01T03:09:37.303Z,1e00000989,141.1366026,39.7161787,42,0
2026-06-01T03:00:14Z,2026-06-01T03:09:37.302Z,1e00000989,141.1362557,39.7152645,35,0
2026-06-01T03:51:01Z,2026-06-01T04:12:38.325Z,1e00000989,141.1367083,39.7156635,87,0
2026-06-01T03:54:26Z,2026-06-01T04:12:38.325Z,1e00000989,141.1276819,39.7153591,214,0
2026-06-01T03:58:08Z,2026-06-01T04:12:38.324Z,1e00000989,141.1303445,39.7156445,71,0
2026-06-01T04:05:26Z,2026-06-01T04:12:38.324Z,1e00000989,141.1368327,39.7157361,78,0
2026-06-01T04:08:29Z,2026-06-01T04:12:38.325Z,1e00000989,141.1366767,39.7150378,88,0
