Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T00:23:20Z,2026-07-01T06:20:05.458Z,1e00000993,141.4616025,43.0724326,40,0
2026-07-01T03:19:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4627576,43.070731,143,0
2026-07-01T03:27:21Z,2026-07-01T06:20:05.458Z,1e00000993,141.4617252,43.0731402,32,0
2026-07-01T04:01:20Z,2026-07-01T06:20:05.458Z,1e00000993,141.4547666,43.0721484,177,0
2026-07-01T04:27:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597341,43.0717106,58,0
2026-07-01T05:08:19Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597494,43.0717129,53,0
2026-07-01T05:08:22Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597482,43.0717128,52,0
2026-07-01T05:12:22Z,2026-07-01T06:20:05.458Z,1e00000993,141.4597444,43.0717126,78,0
2026-07-01T07:40:19Z,2026-07-01T10:33:05.989Z,1e00000993,141.4588781,43.0720866,46,0
2026-07-01T07:40:20Z,2026-07-01T19:11:07.57Z,1e00000993,141.4595227,43.0719618,124,0
2026-07-01T07:40:22Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,47,0
2026-07-01T07:42:19Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,59,0
2026-07-01T07:43:22Z,2026-07-01T19:11:07.57Z,1e00000993,141.4588781,43.0720866,62,0
2026-07-01T08:25:19Z,2026-07-01T19:11:07.57Z,1e00000993,141.4599117,43.0720815,86,0
2026-07-01T08:34:21Z,2026-07-01T19:11:07.57Z,1e00000993,141.4599121,43.0720818,82,0
2026-07-01T09:25:20Z,2026-07-01T23:19:05.574Z,1e00000993,141.4418011,43.0756737,101,0
2026-07-01T09:30:19Z,2026-07-01T23:19:05.574Z,1e00000993,141.4103216,43.0843505,186,0
2026-07-01T19:25:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4598811,43.0721074,35,0
2026-07-01T19:26:23Z,2026-07-01T23:19:05.574Z,1e00000993,141.4597893,43.0717461,36,0
2026-07-01T19:27:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4603136,43.072121,33,0
2026-07-01T19:35:21Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
2026-07-01T19:35:24Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
2026-07-01T19:36:24Z,2026-07-01T23:19:05.574Z,1e00000993,141.4596394,43.0716648,82,0
