Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-06-01T02:27:54Z,2026-06-01T13:55:28.102Z,1e00000986,141.1368044,39.7151677,97,0
2026-06-01T03:12:52Z,2026-06-01T16:09:53.519Z,1e00000986,141.1389102,39.7154416,84,0
2026-06-01T03:17:58Z,2026-06-01T22:58:18.418Z,1e00000986,141.1389168,39.715446,61,0
2026-06-01T03:41:57Z,2026-06-01T22:58:18.418Z,1e00000986,141.1383737,39.7152735,98,0
2026-06-01T04:21:56Z,2026-06-02T00:04:52.316Z,1e00000986,141.138854,39.7154891,126,0
2026-06-01T05:46:20Z,2026-06-02T00:04:52.316Z,1e00000986,141.1372132,39.7151153,100,0
2026-06-01T05:50:40Z,2026-06-02T02:20:15.052Z,1e00000986,141.1368337,39.7149786,96,0
2026-06-01T07:28:53Z,2026-06-02T04:30:06.787Z,1e00000986,141.1382502,39.7145022,98,0
2026-06-01T10:21:58Z,2026-06-02T04:30:06.787Z,1e00000986,141.1359019,39.7193998,78,0
2026-06-01T11:13:39Z,2026-06-02T04:30:06.786Z,1e00000986,141.1361431,39.7195612,89,0
2026-06-01T23:37:58Z,2026-06-02T05:44:09.795Z,1e00000986,141.1387072,39.7150404,43,0
2026-06-01T23:55:37Z,2026-06-02T05:44:09.796Z,1e00000986,141.1342344,39.7125321,86,0
2026-06-01T23:59:22Z,2026-06-02T05:44:09.796Z,1e00000986,141.1368177,39.7149653,115,0
2026-06-02T00:27:15Z,2026-06-02T06:53:57.038Z,1e00000986,141.1302987,39.7081843,102,0
2026-06-02T02:15:03Z,2026-06-02T06:53:57.037Z,1e00000986,141.1370327,39.7153243,109,0
2026-06-02T03:25:40Z,2026-06-02T06:53:57.037Z,1e00000986,141.1382175,39.7152616,84,0
2026-06-02T03:28:37Z,2026-06-02T06:53:57.037Z,1e00000986,141.1382297,39.7152628,88,0
2026-06-02T05:10:35Z,2026-06-02T06:53:57.036Z,1e00000986,141.1378339,39.7153915,32,0
