Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T00:10:51Z,2026-07-01T02:30:05.73Z,1e00000982,141.10416,39.6415337,136,0
2026-07-01T05:37:17Z,2026-07-01T06:20:05.458Z,1e00000982,141.1044941,39.6413693,27,0
2026-07-01T05:39:47Z,2026-07-01T06:20:05.458Z,1e00000982,141.1045255,39.6413635,20,0
2026-07-01T05:44:17Z,2026-07-01T06:20:05.458Z,1e00000982,141.104528,39.6413631,28,0
2026-07-01T05:59:16Z,2026-07-01T06:20:05.458Z,1e00000982,141.104544,39.6413609,39,0
2026-07-01T06:14:57Z,2026-07-01T06:20:05.458Z,1e00000982,141.1046886,39.6413272,67,0
2026-07-01T06:16:56Z,2026-07-01T06:20:05.458Z,1e00000982,141.1046088,39.6413317,19,0
2026-07-01T06:17:18Z,2026-07-01T06:20:05.458Z,1e00000982,141.1046094,39.6413321,21,0
2026-07-01T09:42:53Z,2026-07-01T10:06:06.034Z,1e00000982,141.1337226,39.708869,88,0
2026-07-01T09:49:51Z,2026-07-01T10:06:06.034Z,1e00000982,141.1325685,39.7101959,150,0
2026-07-01T09:50:52Z,2026-07-01T10:06:06.034Z,1e00000982,141.1326244,39.7100753,29,0
2026-07-01T09:55:53Z,2026-07-01T10:06:06.034Z,1e00000982,141.1336086,39.7107599,19,0
2026-07-01T09:56:52Z,2026-07-01T10:06:06.034Z,1e00000982,141.1330071,39.7097654,70,0
2026-07-01T09:57:51Z,2026-07-01T10:06:06.034Z,1e00000982,141.1315203,39.7100194,72,0
2026-07-01T09:59:52Z,2026-07-01T10:06:06.034Z,1e00000982,141.1315203,39.7100194,72,0
2026-07-01T10:00:52Z,2026-07-01T10:06:06.034Z,1e00000982,141.1315203,39.7100194,74,0
2026-07-01T12:46:52Z,2026-07-01T13:51:04.848Z,1e00000982,141.1317755,39.7109472,201,0
2026-07-01T13:00:52Z,2026-07-01T13:51:04.848Z,1e00000982,141.1335019,39.7088404,35,0
2026-07-01T13:01:53Z,2026-07-01T13:51:04.848Z,1e00000982,141.1338243,39.7083912,28,0
2026-07-01T13:02:52Z,2026-07-01T13:51:04.848Z,1e00000982,141.1336534,39.7086582,35,0
2026-07-01T13:05:51Z,2026-07-01T13:51:04.848Z,1e00000982,141.1327814,39.7097436,163,0
2026-07-01T13:09:52Z,2026-07-01T13:51:04.848Z,1e00000982,141.1346544,39.7081322,150,0
