Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-08-01T08:42:23Z,2026-08-01T09:09:05.771Z,1e00000993,130.7937225,32.8477395,53,0
2026-08-01T08:43:20Z,2026-08-01T09:09:05.771Z,1e00000993,130.7937225,32.8477395,54,0
2026-08-01T08:48:23Z,2026-08-01T09:09:05.771Z,1e00000993,130.7937421,32.8477646,73,0
2026-08-01T09:09:22Z,2026-08-01T10:09:05.537Z,1e00000993,130.7942755,32.8478581,61,0
2026-08-01T09:16:21Z,2026-08-01T10:09:05.537Z,1e00000993,130.793769,32.8477991,73,0
2026-08-01T09:55:21Z,2026-08-01T10:09:05.537Z,1e00000993,130.7709731,32.8362265,79,0
2026-08-01T09:55:22Z,2026-08-01T10:09:05.537Z,1e00000993,130.7709546,32.8362367,57,0
2026-08-01T10:02:20Z,2026-08-01T16:00:05.47Z,1e00000993,130.7603729,32.8234858,95,0
2026-08-01T10:02:22Z,2026-08-01T11:22:05.53Z,1e00000993,130.7603617,32.8235776,100,0
2026-08-01T10:02:23Z,2026-08-01T11:22:05.53Z,1e00000993,130.7603831,32.8235438,174,0
2026-08-02T22:53:29Z,2026-08-02T23:34:05.199Z,1e00000993,130.7458177,32.8845198,64,0
2026-08-02T22:57:27Z,2026-08-02T23:34:05.199Z,1e00000993,130.74661,32.8865901,60,0
2026-08-02T23:33:30Z,2026-08-03T00:41:05.806Z,1e00000993,130.7718561,32.8711539,82,0
2026-08-03T00:28:28Z,2026-08-03T00:41:05.806Z,1e00000993,130.781554,32.8593008,56,0
2026-08-03T00:29:29Z,2026-08-03T00:41:05.806Z,1e00000993,130.785938,32.8528395,69,0
2026-08-04T06:22:35Z,2026-08-04T19:54:36.127Z,1e00000993,130.8282383,32.8074987,163,0
2026-08-04T22:03:36Z,2026-08-11T23:46:05.079Z,1e00000993,130.7952656,32.7820248,73,0
2026-08-04T22:07:37Z,2026-08-04T23:09:05.473Z,1e00000993,130.7938413,32.7836038,24,0
2026-08-04T22:07:58Z,2026-08-04T23:09:05.473Z,1e00000993,130.7938033,32.7836222,59,0
2026-08-04T22:12:43Z,2026-08-04T23:09:05.473Z,1e00000993,130.7938006,32.7836295,59,0
2026-08-04T22:14:37Z,2026-08-04T23:09:05.473Z,1e00000993,130.7941531,32.7824676,139,0
2026-08-04T22:17:37Z,2026-08-04T23:09:05.473Z,1e00000993,130.7952113,32.7840641,48,0
2026-08-04T22:17:43Z,2026-08-04T23:09:05.473Z,1e00000993,130.7937985,32.7836348,58,0
2026-08-04T22:46:39Z,2026-08-05T00:06:06.005Z,1e00000993,130.7905392,32.7970794,140,0
2026-08-05T09:09:39Z,2026-08-05T18:00:05.34Z,1e00000993,130.7953211,32.8169674,78,0
2026-08-05T09:26:40Z,2026-08-05T14:34:06.561Z,1e00000993,130.7840623,32.8022083,103,0
2026-08-05T09:45:41Z,2026-08-05T10:09:05.533Z,1e00000993,130.7876156,32.8007993,110,0
2026-08-05T09:47:45Z,2026-08-05T11:15:05.417Z,1e00000993,130.7885983,32.8007306,71,0
2026-08-05T09:48:50Z,2026-08-05T11:15:05.417Z,1e00000993,130.7872796,32.8002236,189,0
2026-08-10T02:15:02Z,2026-08-10T02:33:06.243Z,1e00000993,130.8128227,32.7929537,94,0
2026-08-13T07:54:17Z,2026-08-13T08:17:05.075Z,1e00000993,130.8404298,32.7923416,54,0
2026-08-13T07:54:19Z,2026-08-13T08:17:05.075Z,1e00000993,130.8404298,32.7923416,54,0
2026-08-13T07:57:02Z,2026-08-13T08:17:05.075Z,1e00000993,130.840377,32.7923903,60,0
