UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c000014a2,2026-06-07T00:33:32.127Z,2026-06-02T06:40:10Z,141.3307776,42.9880128,68,99.2,1.3,0,0,0,14.6,7,2,-99999.9,-99999.9,8,[2],1.07,1.5
2c000014a2,2026-06-07T00:33:32.14Z,2026-06-02T06:50:07Z,141.3309184,42.9879584,88.1,119.3,0.1,0,0,0,0,5,2,-99999.9,-99999.9,5,[2],1.65,2.81
2c000014a2,2026-06-07T00:33:32.148Z,2026-06-02T07:00:04Z,141.33472,42.9840736,93.3,124.5,0.3,0,0,0,0,5,2,-99999.9,-99999.9,2,[2],1.93,3.14
2c000014a2,2026-06-07T00:33:32.149Z,2026-06-02T07:10:04Z,141.3341184,42.9850304,105.7,136.9,0,0,0,0,0,6,2,-99999.9,-99999.9,3,[2],1.23,1.84
2c000014a2,2026-06-07T00:33:32.154Z,2026-06-02T07:21:10Z,141.334208,42.9852096,108,139.2,0,0,0,0,0,6,2,-99999.9,-99999.9,68,[1],1.32,2.86
2c000014a2,2026-06-07T00:33:32.189Z,2026-06-02T08:01:19Z,141.3309312,42.9879104,106.2,137.4,0,0,0,0,0,7,2,-99999.9,-99999.9,77,[1],1.52,1.97
2c000014a2,2026-06-07T00:33:32.191Z,2026-06-02T12:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c000014a2,2026-06-07T00:33:32.191Z,2026-06-02T18:00:41Z,141.3310336,42.9881568,79.8,111,0,0,0,0,0,5,2,-99999.9,-99999.9,43,[1],1.83,3.46
2c000014a2,2026-06-07T00:33:32.194Z,2026-06-02T22:50:30.99Z,141.331072,42.9880192,116.1,147.3,0,0,0,0,0,6,2,-99999.9,-99999.9,29,[1],1.78,2.55
2c000014a2,2026-06-07T00:33:32.197Z,2026-06-02T23:10:04Z,141.3330688,42.989184,116.4,147.6,0.2,0,0,0,0,5,2,-99999.9,-99999.9,2,[2],1.53,1.93
2c000014a2,2026-06-07T00:33:32.199Z,2026-06-02T23:20:06Z,141.331072,42.9881888,123.1,154.3,0.9,0,0,0,299.6,5,2,-99999.9,-99999.9,4,[2],1.52,1.81
2c000014a2,2026-06-07T00:33:32.201Z,2026-06-02T23:30:08Z,141.3346432,42.9884096,92.3,123.5,0.4,0,0,0,0,5,2,-99999.9,-99999.9,6,[2],1.53,1.68
2c000014a2,2026-06-07T00:33:32.203Z,2026-06-02T23:40:51Z,141.3345792,42.9878656,73.5,104.7,0.9,0,0,0,0,5,2,-99999.9,-99999.9,50,[1],1.54,1.54
2c000014a2,2026-06-07T00:33:32.205Z,2026-06-02T23:50:32Z,141.3331584,42.9882208,78.1,109.3,0.1,0,0,0,0,5,2,-99999.9,-99999.9,31,[1],1.83,3.01
2c000014a2,2026-06-07T00:33:32.207Z,2026-06-03T00:00:04Z,141.3313536,42.9882464,76.7,107.9,0.5,0,0,0,0,5,2,-99999.9,-99999.9,3,"[1,2]",1.85,2.75
2c000014a2,2026-06-07T00:33:32.209Z,2026-06-03T00:10:04Z,141.3339904,42.9882752,93.4,124.6,0.2,0,0,0,0,5,2,-99999.9,-99999.9,3,[2],1.9,2.51
2c000014a2,2026-06-07T00:33:32.21Z,2026-06-03T00:20:03Z,141.331072,42.9879328,89,120.2,2,0,0,0,336.3,4,2,-99999.9,-99999.9,2,[2],2.74,3.94
2c000014a2,2026-06-07T00:33:32.212Z,2026-06-03T00:30:10Z,141.328768,42.9861664,118.8,150,0.1,0,0,0,0,5,2,-99999.9,-99999.9,9,[2],2.11,2.25
2c000014a2,2026-06-07T00:33:32.213Z,2026-06-03T00:41:05Z,141.3286528,42.9863008,126.2,157.4,0.2,0,0,0,0,6,2,-99999.9,-99999.9,65,[1],1.62,2.51
2c000014a2,2026-06-07T00:33:32.245Z,2026-06-03T00:50:31.01Z,141.3311872,42.988064,113.7,144.9,0,0,0,0,0,8,2,-99999.9,-99999.9,27,[2],1.15,1.7
2c000014a2,2026-06-07T00:33:32.247Z,2026-06-03T01:00:06Z,141.3311104,42.98792,34.3,65.5,0.6,0,0,0,214.8,5,2,-99999.9,-99999.9,3,[2],1.5,2.29
2c000014a2,2026-06-07T00:33:32.25Z,2026-06-03T01:10:08Z,141.3285888,42.9862592,121.4,152.6,0.3,0,0,0,0,7,2,-99999.9,-99999.9,4,[2],1.21,1.67
2c000014a2,2026-06-07T00:33:32.252Z,2026-06-03T01:20:06Z,141.3308928,42.9878464,120.7,151.9,10.8,0,0,0,13.3,7,2,-99999.9,-99999.9,2,[2],1.32,1.62
2c000014a2,2026-06-07T00:33:32.253Z,2026-06-03T01:21:07Z,141.3308416,42.9879136,112.2,143.4,0.3,0,0,0,0,8,2,-99999.9,-99999.9,2,[4],1.26,1.7
2c000014a2,2026-06-07T00:33:32.255Z,2026-06-03T01:22:06Z,141.330688,42.9880416,93.2,124.4,0.4,0,0,0,0,7,2,-99999.9,-99999.9,3,"[2,4]",1.24,1.82
2c000014a2,2026-06-07T00:33:32.256Z,2026-06-03T01:23:06Z,141.3308928,42.9880064,109,140.2,0.1,0,0,0,0,8,2,-99999.9,-99999.9,2,[4],1.18,1.61
2c000014a2,2026-06-07T00:33:32.258Z,2026-06-03T01:24:07Z,141.3309312,42.9880992,93.7,124.9,0.2,0,0,0,0,6,2,-99999.9,-99999.9,2,[2],1.27,2.08
2c000014a2,2026-06-07T00:33:32.26Z,2026-06-03T01:26:07Z,141.3285888,42.9862816,117.5,148.7,8.2,0,0,0,243.5,6,2,-99999.9,-99999.9,2,[2],1.5,1.98
2c000014a2,2026-06-07T00:33:32.262Z,2026-06-03T01:27:06.5Z,141.3285632,42.9862848,109.5,140.7,0.5,0,0,0,0,5,2,-99999.9,-99999.9,2,[4],1.83,2.55
2c000014a2,2026-06-07T00:33:32.266Z,2026-06-03T01:28:07Z,141.3285504,42.9861248,119.8,151,0,0,0,0,0,6,2,-99999.9,-99999.9,3,"[2,4]",1.53,2.05
2c000014a2,2026-06-07T00:33:32.268Z,2026-06-03T01:29:07Z,141.3286144,42.9861056,122.4,153.6,1,0,0,0,0,5,2,-99999.9,-99999.9,2,[4],1.57,2.51
2c000014a2,2026-06-07T00:33:32.27Z,2026-06-03T01:30:06.5Z,141.3287552,42.9863392,123.3,154.5,0.9,0,0,0,0,7,2,-99999.9,-99999.9,2,[2],1.48,2.01
