UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c00001404,2026-07-02T12:48:35.933Z,2026-06-14T06:01:25Z,141.1379712,39.7152032,164.7,200.4,0,0,0,0,0,5,2,-99999.9,-99999.9,86,[1],2.65,3.83
2c00001404,2026-07-02T12:48:35.935Z,2026-06-14T12:00:31.01Z,141.137408,39.7145408,161.8,197.5,0,0,0,0,0,5,2,-99999.9,-99999.9,30,[1],2.29,3.12
2c00001404,2026-07-02T12:48:35.936Z,2026-06-14T18:00:49Z,141.137088,39.7146784,128.8,164.5,0,0,0,0,0,8,2,-99999.9,-99999.9,51,[1],1,1.23
2c00001404,2026-07-02T12:48:35.938Z,2026-06-15T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:35.938Z,2026-06-15T06:02:16Z,141.138944,39.7149376,205,240.7,0,0,0,0,0,4,2,-99999.9,-99999.9,137,[1],4.55,9.85
2c00001404,2026-07-02T12:48:35.94Z,2026-06-15T12:01:11Z,141.1375232,39.7143456,171.5,207.2,0,0,0,0,0,4,2,-99999.9,-99999.9,71,[1],2.72,3.1
2c00001404,2026-07-02T12:48:35.993Z,2026-06-15T18:00:31.01Z,141.137408,39.714608,147,182.7,0,0,0,0,0,7,2,-99999.9,-99999.9,29,[1],0.96,1.4
2c00001404,2026-07-02T12:48:35.994Z,2026-06-16T00:01:40Z,141.1371776,39.7139968,119,154.7,6.2,0,0,0,58,5,2,-99999.9,-99999.9,101,[1],1.35,5.37
2c00001404,2026-07-02T12:48:35.996Z,2026-06-16T06:01:01Z,141.139648,39.7150048,145.7,181.4,0,0,0,0,0,7,2,-99999.9,-99999.9,60,[1],1.37,2.69
2c00001404,2026-07-02T12:48:35.997Z,2026-06-16T12:00:49Z,141.132416,39.7058912,136.5,172.2,0,0,0,0,0,7,2,-99999.9,-99999.9,50,[1],1.92,2.74
2c00001404,2026-07-02T12:48:35.999Z,2026-06-16T18:00:41Z,141.1321472,39.7061728,143.5,179.2,0,0,0,0,0,7,2,-99999.9,-99999.9,40,[1],1.44,1.55
2c00001404,2026-07-02T12:48:36Z,2026-06-17T00:02:27Z,141.1358336,39.7139648,148.6,184.3,0,0,0,0,0,4,2,-99999.9,-99999.9,148,[1],2.45,3.52
2c00001404,2026-07-02T12:48:36.003Z,2026-06-17T06:01:39Z,141.137152,39.7133984,116.7,152.4,0,0,0,0,0,5,2,-99999.9,-99999.9,97,[1],1.63,2.82
2c00001404,2026-07-02T12:48:36.005Z,2026-06-17T12:00:50Z,141.13248,39.7058624,132.2,167.9,0,0,0,0,0,5,2,-99999.9,-99999.9,51,[1],1.49,2.25
2c00001404,2026-07-02T12:48:36.01Z,2026-06-17T18:00:31Z,141.13248,39.705888,134.3,170,0,0,0,0,0,5,2,-99999.9,-99999.9,30,[1],2.44,2.42
2c00001404,2026-07-02T12:48:36.011Z,2026-06-18T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:36.011Z,2026-06-18T06:00:31Z,141.1343744,39.7139712,136.9,172.6,0,0,0,0,0,4,2,-99999.9,-99999.9,34,[1],1.83,3.63
2c00001404,2026-07-02T12:48:36.012Z,2026-06-18T12:01:01Z,141.1323136,39.7059552,136.9,172.6,0,0,0,0,0,5,2,-99999.9,-99999.9,61,[1],2.12,2.09
2c00001404,2026-07-02T12:48:36.015Z,2026-06-18T18:00:31Z,141.132288,39.7059584,137.6,173.3,0,0,0,0,0,5,2,-99999.9,-99999.9,29,[1],2.38,2.96
2c00001404,2026-07-02T12:48:36.056Z,2026-06-19T00:01:03Z,141.134272,39.7140608,148.3,184,0.1,0,0,0,0,6,2,-99999.9,-99999.9,65,[1],2.85,3.46
2c00001404,2026-07-02T12:48:36.057Z,2026-06-19T06:02:19Z,141.1335552,39.7146304,133,168.7,0,0,0,0,0,5,2,-99999.9,-99999.9,138,[1],2.58,4.39
2c00001404,2026-07-02T12:48:36.058Z,2026-06-19T12:00:55Z,141.13248,39.705856,149.5,185.2,0,0,0,0,0,5,2,-99999.9,-99999.9,56,[1],1.95,2.46
2c00001404,2026-07-02T12:48:36.059Z,2026-06-19T18:00:31.01Z,141.132416,39.7058912,145.5,181.2,0,0,0,0,0,5,2,-99999.9,-99999.9,29,[1],1.76,1.95
2c00001404,2026-07-02T12:48:36.061Z,2026-06-20T00:00:31Z,141.135616,39.7144288,146.3,182,0,0,0,0,0,5,2,-99999.9,-99999.9,30,[1],1.86,2.5
2c00001404,2026-07-02T12:48:36.061Z,2026-06-20T06:01:30Z,141.1331968,39.7157696,137.3,173,0.9,0,0,0,251.2,4,2,-99999.9,-99999.9,91,[1],6.31,8.4
2c00001404,2026-07-02T12:48:36.063Z,2026-06-20T12:00:32Z,141.1324672,39.7058272,148.2,183.9,0,0,0,0,0,3,2,-99999.9,-99999.9,30,[1],1.79,3.76
2c00001404,2026-07-02T12:48:36.064Z,2026-06-20T18:00:49Z,141.1323136,39.7065696,316.8,352.5,0,0,0,0,0,6,2,-99999.9,-99999.9,50,[1],1.32,1.8
2c00001404,2026-07-02T12:48:36.066Z,2026-06-21T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:36.066Z,2026-06-21T06:02:25Z,141.1353344,39.714016,129.1,164.8,0.1,0,0,0,0,5,2,-99999.9,-99999.9,146,[1],2.47,3.76
2c00001404,2026-07-02T12:48:36.068Z,2026-06-21T12:00:40Z,141.1326592,39.7059392,121.1,156.8,0,0,0,0,0,4,2,-99999.9,-99999.9,39,[1],2.24,4.57
2c00001404,2026-07-02T12:48:36.07Z,2026-06-22T06:00:41Z,141.134464,39.7140768,148.9,184.6,0,0,0,0,0,6,2,-99999.9,-99999.9,47,[1],1.94,2.64
2c00001404,2026-07-02T12:48:36.071Z,2026-06-23T06:02:06Z,141.1337088,39.7145088,170.7,206.4,0.2,0,0,0,0,6,2,-99999.9,-99999.9,132,[1],1.44,1.92
2c00001404,2026-07-02T12:48:36.073Z,2026-06-23T12:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
