UUID,Collecting time,Annotation type,Latitude,Longitude,Altitude,Error radius
2c0000149f,2026-09-10T09:00:43.428Z,2,38.29865285743399,140.82837877186432,0,0
2c0000149f,2026-09-10T09:07:58.637Z,2,38.298691360295436,140.82849910929917,0,0
2c0000149f,2026-09-10T09:08:12.71Z,2,38.298710912968446,140.82852635376955,0,0
2c0000149f,2026-09-10T09:11:37.3Z,2,38.29867546369015,140.82860036315583,0,0
2c0000149f,2026-09-11T11:32:47.11Z,2,38.298538048266714,140.82844891735147,0,0
2c0000149f,2026-09-11T11:38:42.881Z,2,38.2986846249784,140.82856104509867,0,0
2c0000149f,2026-09-11T11:49:10.968Z,2,38.29869694741438,140.8286326268836,0,0
2c0000149f,2026-09-11T11:52:48.247Z,2,38.29864511455212,140.8287062249694,0,0
2c0000149f,2026-09-13T10:04:15.245Z,2,38.29863573802154,140.8287113749618,0,0
2c0000149f,2026-09-13T10:07:34.23Z,2,38.298656393299154,140.8286969469015,0,0
